source_index,source_lat,source_lon,source_current_pano_id,source_current_image_file,candidate_rank,historical_pano_id,historical_date,historical_lat,historical_lon,distance_to_source_m,heading,pitch,roll,search_status,error
15,50.102430406976744,14.392187534883721,TyIip1jsJ3lz8SrC0iqQ1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0015.jpg,1,N9KLuM_NOTi0kTlFOtofwA,2011-08,50.10242481693639,14.39221767366618,2.238,309.3013916015625,89.24958038330078,0.3682768642902374,ok,
15,50.102430406976744,14.392187534883721,TyIip1jsJ3lz8SrC0iqQ1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0015.jpg,2,S_30dXXpEU1rHAPsAA3UVg,2014-05,50.10244794297014,14.39216894923002,2.358,309.4703979492188,89.80654907226562,0.5889760255813599,ok,
16,50.10245996744186,14.392133937209303,CAoSFkNJSE0wb2dLRUlDQWdJRHFxNnFIQ0E.,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0016.jpg,0,-2zj8-q1Zj5AMIaSILabew,2014-05,50.10248291649624,14.39210502212039,3.281,309.6012268066406,89.721923828125,0.5448756217956543,ok,
16,50.10245996744186,14.392133937209303,CAoSFkNJSE0wb2dLRUlDQWdJRHFxNnFIQ0E.,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0016.jpg,1,j03hHzm7SITi7V-N6J7m8w,2011-08,50.10248886438747,14.39210039982437,4.006,309.635986328125,89.15255737304688,0.5010389685630798,ok,
16,50.10245996744186,14.392133937209303,CAoSFkNJSE0wb2dLRUlDQWdJRHFxNnFIQ0E.,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0016.jpg,2,7qzjuZ7qF0rwxzqFaE-6vw,2009-05,50.10251062854373,14.39206753240684,7.36,310.3280029296875,90.5866928100586,0.5660917162895203,ok,
17,50.102489527906975,14.392080339534884,RJVwsEGf5qEPIv9k2DpDUA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0017.jpg,0,j03hHzm7SITi7V-N6J7m8w,2011-08,50.10248886438747,14.39210039982437,1.433,309.635986328125,89.15255737304688,0.5010389685630798,ok,
17,50.102489527906975,14.392080339534884,RJVwsEGf5qEPIv9k2DpDUA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0017.jpg,1,-2zj8-q1Zj5AMIaSILabew,2014-05,50.10248291649624,14.39210502212039,1.908,309.6012268066406,89.721923828125,0.5448756217956543,ok,
17,50.102489527906975,14.392080339534884,RJVwsEGf5qEPIv9k2DpDUA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0017.jpg,2,7qzjuZ7qF0rwxzqFaE-6vw,2009-05,50.10251062854373,14.39206753240684,2.518,310.3280029296875,90.5866928100586,0.5660917162895203,ok,
18,50.10251908837209,14.392026741860466,xJ8OXDlhU_XhW6Q1a2uk4A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0018.jpg,0,VrYlJ4sbSPW8oVsfibUqfg,2009-05,50.10253032051575,14.39203078586154,1.282,310.3094787597656,90.94051361083984,0.3876911699771881,ok,
18,50.10251908837209,14.392026741860466,xJ8OXDlhU_XhW6Q1a2uk4A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0018.jpg,1,YwB-2nSFmg6_aQWLC2dXwA,2011-08,50.10255292939021,14.39198425430841,4.831,309.684814453125,89.2508544921875,0.3498130738735199,ok,
18,50.10251908837209,14.392026741860466,xJ8OXDlhU_XhW6Q1a2uk4A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0018.jpg,2,ispWWKq2PQI-_fxJbLIcxw,2014-05,50.10255502446962,14.39197336912572,5.519,309.8789978027344,89.47279357910156,0.4903857707977295,ok,
19,50.10254864883721,14.391973144186046,xJ8OXDlhU_XhW6Q1a2uk4A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0019.jpg,0,ispWWKq2PQI-_fxJbLIcxw,2014-05,50.10255502446962,14.39197336912572,0.709,309.8789978027344,89.47279357910156,0.4903857707977295,ok,
19,50.10254864883721,14.391973144186046,xJ8OXDlhU_XhW6Q1a2uk4A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0019.jpg,1,YwB-2nSFmg6_aQWLC2dXwA,2011-08,50.10255292939021,14.39198425430841,0.924,309.684814453125,89.2508544921875,0.3498130738735199,ok,
19,50.10254864883721,14.391973144186046,xJ8OXDlhU_XhW6Q1a2uk4A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0019.jpg,2,VrYlJ4sbSPW8oVsfibUqfg,2009-05,50.10253032051575,14.39203078586154,4.589,310.3094787597656,90.94051361083984,0.3876911699771881,ok,
